title,en,da_s,da_t,de_s,de_t,pt_s,pt_t
DOM_SELECTOR_DESCRIPTION,"A css selector, with filters",En css-vælger med filtre,A css selector with filters,Ein CSS-Selektor mit Filtern,A CSS selector with filters,"Um seletor css, com filtros","A css selector, with filters"
HIDE_FROM_DETECTION,Hide from detection,Skul fra at blive opdaget,Avoid being discovered,Vor Entdeckung verstecken,Hide from discovery,Ocultar da detecção,hide from detection
HIDE_FROM_DETECTION_HELP,"Make sure this element and its children, is never detected by ConsentOMatic","Sørg for, at dette element og dets børn aldrig bliver opdaget af ConsentOMatic",Ensure that this element and its children are never detected by ConsentOMatic,"Stellen Sie sicher, dass dieses Element und seine untergeordneten Elemente niemals von ConsentOMatic erkannt werden",Ensure that this element and its children are never recognized by ConsentOMatic,Certifique-se de que este elemento e seus filhos nunca sejam detectados pelo ConsentOMatic,Make sure this element and its children are never detected by ConsentOMatic
FORCE_HIDE,Force hide,Tving skjul,Force hide,Ausblenden erzwingen,Force Hide,Forçar ocultação,force hide
FORCE_HIDE_HELP,"Force hiding this element, instead of using picture in picture",Tving at dette element bliver skjult i stedet for at bruge billede i billede,Force this element to be hidden instead of using picture in picture,"Erzwingen Sie das Ausblenden dieses Elements, anstatt Bild in Bild zu verwenden",Force hide this element instead of using picture in picture,"Forçar a ocultação deste elemento, em vez de usar imagem em imagem",Force hide this element instead of using picture in picture
NEGATED_CHECKBOX_HELP,"If checked, the checkbox count as checked when not checked, and vice versa","Hvis markeret, tæller afkrydsningsfeltet som markeret, når det ikke er markeret, og omvendt","If checked, the checkbox counts as checked when unchecked, and vice versa","Wenn es aktiviert ist, zählt das Kontrollkästchen als aktiviert, wenn es nicht aktiviert ist, und umgekehrt","If checked, the checkbox counts as checked, if not checked, and vice versa","Se marcada, a caixa de seleção conta como marcada quando não marcada e vice-versa","If checked, the checkbox counts as checked when unchecked and vice versa"
RUN_ROOTED_ACTION,RunRootedAction,,,,,,
RUN_ROOTED_ACTION_DESCRIPTION,"Run an action rooted at the selected dom element. Ignores any current root set, and sets old root afterwards.",,,,,,
RUN_METHOD_ACTION,RunMethodAction,,,,,,
RUN_METHOD_ACTION_DESCRIPTION,Runs a custom method.,,,,,,
ADD_METHOD,Add method,,,,,,
ADD_METHOD_PROMPT,Name of new method:,,,,,,
IGNORE_OLD_ROOT,Ignore old root,,,,,,
IGNORE_OLD_ROOT_HELP,"Ignores any root set, and restarts from document",,,,,,
METHOD,Method,,,,,,
METHOD_HELP,The method to run,,,,,,
NEGATED_URL_HELP,"When enabled, this matcher matches, if none of the URL's match",,,,,,
